Serial No.,Reaction Type,Description,General Formula,Source,Generated Prompt
31,Electroplating,Deposition of metals using electric current,Mⁿ⁺ + ne⁻ → M(s),https://en.wikipedia.org/wiki/Electroplating,"Electroplating, or electrodeposition, is a process of coating a solid surface with a metal layer using a direct electric current. The object to be coated acts as the cathode in an electrolytic cell, with a salt solution of the coating metal as the electrolyte, and the anode as an inert or same-metal conductor. Widely used in industries and decorative arts, electroplating enhances object qualities like abrasion resistance, corrosion resistance, and appearance. It's also employed in electronic applications such as printed circuit boards and copper purification. Throwing power impacts uniformity of the electroplated layer, influenced by solution composition and current density.

Example:
The reaction takes place in an electrolyte solution containing copper ions (Cu2+) and sulfate ions (SO42−). The process is as follows:

At the anode (Copper): Solid copper is oxidized, losing two electrons to form copper ions. These ions then dissolve into the electrolyte solution. Impurities settle at the bottom as anode mud. The half-reaction is: Cu(s) → Cu2+ (aq) + 2e−
 

At the cathode (Metal to be plated): Copper ions (Cu2+) from the solution are reduced, gaining two electrons to become solid copper. This solid copper then deposits onto the cathode's surface. The half-reaction is: 
Cu2+ (aq) + 2e− → Cu(s)

The overall result is the transfer of copper from the anode to the cathode, coating the surface of the object at the cathode."
32,Enzymatic Reaction,Reactions catalyzed by biological enzymes,Substrate + Enzyme → Products + Enzyme,https://en.wikipedia.org/wiki/Enzyme_kinetics,"Enzymatic reactions involve enzyme-catalyzed chemical processes that accelerate reaction rates in biological systems. The reaction involves an enzyme (E) binding with a substrate (S) to form an enzyme-substrate complex (ES), which transitions through a state (ES*) to form a product (P), while regenerating the enzyme. This process is summarized by the mechanism: E + S ⇌ ES ⇌ ES* ⇌ EP ⇌ E + P.

Enzyme kinetics studies these reactions by measuring the rates and conditions affecting them, providing insights into enzyme activity, metabolism regulation, and drug interactions. Some enzymes catalyze single-substrate reactions, while others facilitate multi-substrate reactions, such as dehydrogenases. Enzyme kinetics can highlight the rate-determining steps in these reactions, often involving a chemical alteration or structural change affecting the enzyme or substrates."
33,Group Transfer Reaction,Transfer of functional groups between molecules,Donor + Acceptor → Modified products,https://wou.edu/chemistry/courses/online-chemistry-textbooks/ch103-allied-health-chemistry/ch103-chapter-6-introduction-to-organic-chemistry-and-biological-molecules/,"In group transfer reactions, a functional group is transferred from a donor molecule to an acceptor molecule. The example can be the transfer of an amine group from an α-amino acid (donor) to an α-keto acid (acceptor), resulting in a new α-amino acid and a new α-keto acid. This specific type of group transfer is crucial in biological systems for producing α-amino acids used in protein synthesis. Here, the donor's amine group is replaced by an oxygen to form a ketone, while the acceptor's carbonyl oxygen is replaced by the amine group."
34,Hydrolysis Reaction,Breaking of bonds using water,A-B + H₂O → A-H + B-OH,https://en.wikipedia.org/wiki/Hydrolysis,"Hydrolysis is a chemical reaction where a water molecule breaks one or more chemical bonds, typically used in substitution and elimination reactions, with water serving as the nucleophile. It involves the cleavage of biomolecules to separate larger molecules into components. For instance, carbohydrates like sucrose can be hydrolyzed into glucose and fructose, a process known as saccharification. Hydrolysis can be seen as the reverse of a condensation reaction, where water is added to break bonds, contrasting with condensation where water is removed to join molecules. The reaction can achieve chemical equilibrium with condensation, indicating reversibility.

Example:
Hydrolysis of Esters
General Reaction:
R-C(=O)OR' + H2O <=> R-C(=O)OH + R'OH

Specific Example:
CH3COOCH2CH2CH2CH3 + H2O <=> CH3COOH + CH3CH2CH2CH2OH"
35,Anabolic Reaction,Biosynthetic reactions that build complex molecules,Simple → Complex (energy required),https://en.wikipedia.org/wiki/Anabolism,"Anabolic reactions are metabolic pathways that construct macromolecules such as DNA and RNA from smaller units, requiring energy input in an endergonic process. Anabolism is the constructive phase of metabolism and is synonymous with biosynthesis. These reactions involve polymerization, using condensation reactions to create macromolecules like nucleic acids, proteins, and polysaccharides, facilitated by enzymes and cofactors.

Energy for anabolic processes is often derived from ATP cleavage, involving reduction reactions that decrease entropy, necessitating energy input. Precursor molecules are joined using chemical energy from cofactors like NAD⁺ and FAD. Overall, anabolism requires energy, making it unfavorable without external sources.

Examples:
Cells use an anabolic process to make polymers, repair, and grow tissues. For example:

Formation of disaccharides and water with the help of combining simple sugars
C6H12O6 + C6H12O6 → C12H22O11 + H2O

Formation of dipeptides by combining Amino acids
NH2CHRCOOH + NH2CHRCOOH → NH2CHRCONHCHRCOOH + H2O

Formation of lipids when glycerol reacts with fatty acids
CH2OHCH(OH)CH2OH + C17H35COOH → CH2OHCH(OH) CH2OOCC17H35

Process of photosynthesis to form glucose and oxygen
6CO2 + 6H2O → C6H12O6 + 6O2"
36,Catabolic Reaction,Breakdown reactions that release energy,Complex → Simple (energy released),https://en.wikipedia.org/wiki/Catabolism,"Catabolic reactions involve the breakdown of complex molecules into simpler ones, releasing energy used for cellular activities. These reactions are a key component of metabolism, providing the chemical energy necessary for the maintenance and growth of cells. In catabolism, large molecules such as proteins, polysaccharides, and fats are broken into smaller units like amino acids, monosaccharides, and fatty acids, respectively. This process often involves hydrolysis and oxidation pathways, utilizing enzymes and coenzymes such as NAD+.

Cells use monomers released from these reactions to construct new polymer molecules or degrade them further into simple waste products. Examples include glycolysis and the breakdown of muscle protein for energy during starvation. Catabolic pathways are ATP-dependent, helping in energy regulation and cellular respiration. Hormones like cortisol, glucagon, and adrenaline play roles in facilitating catabolic reactions. A diagram of carbon metabolism illustrates the pathways for free energy involving carbohydrates and lipids."
37,Homogeneous Catalysis,Catalysis where catalyst and reactants are in the same phase,Reactants + Catalyst → Products + Catalyst,https://en.wikipedia.org/wiki/Homogeneous_catalysis,"Homogeneous catalysis involves a catalyst in the same phase as the reactants, usually in a solution. A key application is acetic acid production, with enzymes serving as examples. Acid catalysis is highlighted, where protons act as catalysts through water self-ionization, promoting ester hydrolysis. An equation illustrates this: CH₃CO₂CH₃ + H₂O ⇌ CH₃CO₂H + CH₃OH. Transition metal catalysis, involving hydrogenation and transfer hydrogenation, is also discussed. A constrained geometry complex displays a transition metal catalyst used in polyolefin production, such as polyethylene and polypropylene."
38,Heterogeneous Catalysis,Catalysis where catalyst and reactants are in different phases,Reactants + Catalyst → Products + Catalyst,https://en.wikipedia.org/wiki/Heterogeneous_catalysis,"Heterogeneous catalysis involves catalysts in a different phase than the reactants, typically solid catalysts with gas-phase reactants. This process facilitates adsorption, reaction, and desorption on the catalyst's surface, influencing reaction kinetics. It's crucial for large-scale, selective production and significantly impacts the global GDP by enabling 90% of chemical production, including the Haber–Bosch process for ammonia synthesis. Adsorption, a key step, involves physisorption (weak) and chemisorption (strong), with desorption releasing the adsorbate. The Lennard-Jones model assists in predicting molecular interactions.

Examples:
Sulfuric Acid Synthesis (Contact Process)
In this process, sulfur dioxide (SO2) and oxygen (O2), which are gases, react to form sulfur trioxide (SO3). This reaction is sped up by a solid catalyst made of vanadium oxides. The solid catalyst provides a surface for the gas molecules to react on. Subsequently, the SO3 is hydrated to produce sulfuric acid (H2SO4).

Ammonia Synthesis (Haber-Bosch Process)
The Haber-Bosch process involves the reaction of nitrogen (N2) and hydrogen (H2), both of which are gases, to produce ammonia (NH3). This reaction uses a solid catalyst consisting of iron oxides on a support of alumina (Al2O3). This process is notable for its high energy consumption, using about 1% of the world's industrial energy. The solid catalyst's surface facilitates the breaking of the strong bonds in N2 and H2, allowing them to react."
39,Biocatalysis,Catalysis using biological catalysts (enzymes),Substrate + Enzyme → Products + Enzyme,https://en.wikipedia.org/wiki/Biocatalysis,"Biocatalysis involves using biological systems or their parts, like enzymes, to accelerate chemical reactions, particularly on organic compounds. Enzymes can be used in isolation or within living cells. Advances in biotechnology, such as directed evolution, have allowed for the creation of modified enzymes capable of facilitating novel reactions otherwise challenging for traditional synthetic chemistry. When these enzymes contribute to organic synthesis, the process is known as chemoenzymatic synthesis, and the resulting reactions are referred to as chemoenzymatic reactions.

Example:
A keto ester (specifically, a β-keto ester) is reduced to a hydroxy ester. The reaction uses yeast as a biocatalyst and petroleum ether as the solvent. The key feature is the formation of a specific stereoisomer, shown by the wedged and dashed bond to the hydroxyl group. The product is a single enantiomer, with an enantiomeric excess (e.e.) of 94%.

This shows how a biological catalyst (yeast) can perform a stereoselective reaction, producing a chiral product with a high degree of specificity, which is a major advantage of biocatalysis over traditional chemical methods."
40,Autocatalysis,Reaction where one of the products acts as a catalyst,A → B (where B catalyzes A → B),https://en.wikipedia.org/wiki/Autocatalysis,"Autocatalysis is a chemical reaction where the reaction products serve as catalysts for the same reaction, leading to a self-sustaining process. The page outlines that such reactions can collectively form a network where products catalyze various steps, ensuring the entire set is self-sustaining with energy input.

Example:
Acid-catalyzed hydrolysis of esters produces carboxylic acids that also catalyze the same reaction. Indeed, the observation of an accelerating hydrolysis of gamma valerolactone to gamma-hydroxyvaleric acid led to the introduction of the concept of autocatalysis in 1890."
41,Photo-dissociation,Breaking of bonds using light energy,AB + hν → A* + B*,https://en.wikipedia.org/wiki/Photodissociation,"Photodissociation, also known as photolysis or photodecomposition, is a chemical reaction where molecules are broken down by the absorption of light (photons). This process involves photons interacting with target molecules, causing them to dissociate into two fragments. Light involved can be vacuum ultraviolet (VUV), ultraviolet (UV), visible, or infrared (IR). Photon energies are sufficient to break covalent bonds or detach ligands from coordination complexes. In photosynthesis, photolysis is part of the light-dependent reactions, specifically the conversion of water to diatomic oxygen, contributing to the oxygenation of Earth's atmosphere. This occurs in the thylakoids of cyanobacteria and the chloroplasts of green algae and plants. The reaction is typically expressed as: H₂A + 2 photons → 2 e⁻ + 2 H⁺ + A."
42,Photo-isomerization,Light-induced structural rearrangements,A + hν → B (isomer),https://en.wikipedia.org/wiki/Photoisomerization,"**Photo-isomerization Summary**

Photo-isomerization is an isomerization process induced by photoexcitation, commonly involving reversible changes and known for its role in photoswitchable compounds. It plays a significant role in applications like vision (retinal isomerization in the eye), pigments for rewritable media, molecular electronics, and enhancements in liquid crystals used in holography and optical switching.

Example:
When trans-azobenzene is exposed to light, it converts to the cis-isomer. The cis-isomer can also convert back to the more stable trans-isomer, either through exposure to light of a different wavelength or by heat. This reversible photo-induced change makes azobenzene a key molecule in the field of molecular switches."
43,Photo-addition,Addition reactions initiated by light,A + B + hν → AB,https://www.slideshare.net/slideshow/photoaddition-and-photo-fragmentation-reaction/249369371,"**Photo-addition Reaction Summary**

Photo-addition is a biomolecular photochemical process where electronically excited molecules form a single product. A notable example is the Paternò-Büchi reaction, which involves the photoaddition of a triplet carbonyl group with the ground state of an alkene to form a four-membered oxetane. The reaction specifics include:

Example

The reaction is:
6 CO2 (Carbon dioxide) + 6H2O (Water) + hν (Light energy) → C6H12O6 (Glucose) + 6 O2 (Oxygen)

In this process, carbon dioxide and water are the reactants, and glucose (a sugar) and oxygen are the products. The reaction is driven by light energy, which is represented by ""hν""."
44,Photo-substitution,Substitution reactions driven by light,A + BC + hν → AB + C,https://www.degruyterbrill.com/document/doi/10.1351/pac197541040433/pdf?srsltid=AfmBOorLBFwsW03B0nWg3XugPLjJAJvWZ62xjm-8qPmZQHqgH35M8mRc,"The image depicts photosubstitution reactions of aromatic compounds focusing on the hydrolysis of 4-nitroveratrole and dimethoxynitronaphthalenes. 

Examples:

Example of photosubstitution reaction is chlorination of CH4 using HCl

CH4 + HCl --------> CH3Cl + H2

CH3Cl + HCl ------> CH2Cl + H2

CH2Cl + HCl --------> CHCl3 + H2

CHCl3 + HCl --------> CCl4 + H2"
45,Photo-redox Reaction,Redox reactions initiated by light,A + B + hν → A⁺ + B⁻,https://en.wikipedia.org/wiki/Photoredox_catalysis,"Photo-redox catalysis involves single-electron transfer using light energy to activate catalysts, typically transition-metal complexes like Ru(bipy)₃²⁺. Upon absorbing light, these sensitizers initiate a metal-to-ligand charge transfer, reaching an excited state. This state can return to the ground level through fluorescence or intersystem crossing to a triplet state, which has a longer lifespan due to spin-forbidden transitions. The triplet state can transfer energy or undergo phosphorescence. Ru(bipy)₃²⁺, a typical catalyst, exhibits a triplet state lifetime of approximately 1100 ns, allowing for extensive electron-transfer reactions before reverting to its ground state.

Example:
This reaction is an example of the photoreduction of carbonyl compounds. In this process, a ketone, specifically acetone, reacts with hydrogen selenide to form a monoalcohol and elemental selenium. The reaction is driven by light energy, represented by ""hν"".

Reaction:
CH3COCH3 + H2Se -> CH3CH(OH)CH3 + Se

In this reaction:

The reactant is Acetone (CH3COCH3), which is a ketone.

The other reactant is Hydrogen selenide (H2Se).

The reaction is initiated by Light energy (hν).

The products are Propan-2-ol (CH3CH(OH)CH3), a secondary alcohol, and Selenium (Se).

This is a reduction reaction because hydrogen is added to the carbonyl group. It's also a photochemical reaction because it requires light to proceed."
46,Addition Polymerization,Monomers add to form polymers without loss of atoms,nA → (A)ₙ,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Chemistry_for_Changing_Times_(Hill_and_McCreary)/10%3A_Polymers/10.03%3A_Addition_Polymerization_-_One__One__One__..._Gives_One,"Addition polymerization, also known as chain-growth polymerization, involves monomers bonding directly without losing any atoms. This process requires an initiator to start a chain reaction. It typically involves a free-radical initiator donating an electron to a monomer, making it reactive for further bonding. The process includes three stages: chain initiation, where the radical reacts with a monomer; chain propagation, where the growing polymer chain continually adds monomers; and chain termination, where two radicals react to stop the process. Polyethylene synthesis exemplifies this method. This polymerization occurs without forming by-products, distinguishing it from condensation polymerization.

Example:
Chain Initiation
In this first step, an initiator molecule, represented as a free radical R•, reacts with a monomer molecule (ethene, H2C=CH2). This reaction breaks the double bond of the ethene molecule, creating a new, larger free radical.
R• + H2C=CH2 → R−CH2−CH2 •

Chain Propagation
The newly formed free radical reacts with another monomer molecule. This process repeats as the growing radical chain adds more and more monomer units. This step is where the polymer chain grows.

R−(CH2−CH2)n−CH2−CH2• + H2C=CH2 → R−(CH2−CH2)n+1−CH2−CH2•

Chain Termination
The polymerization stops when two free radicals combine with each other, effectively ""terminating"" the growth of the chains. In the illustrated example, the radical chain reacts with another initiator radical R•, leading to a stable polymer chain.

R−(CH2−CH2)n−CH2−CH2• + R• → R−(CH2−CH2)n+1 − R"
47,Condensation Polymerization,Monomers combine with loss of small molecules,nA + nB → (AB)ₙ + nC,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Chemistry_for_Changing_Times_(Hill_and_McCreary)/10%3A_Polymers/10.05%3A_Condensation_Polymers,"Condensation polymerization, also known as step-growth polymerization, involves monomers with two or more functional groups reacting to form polymers, usually with the elimination of small molecules like water. Illustrated here is the formation of Nylon 66 from adipic acid and hexamethylene diamine. The reaction gives off water as a byproduct and forms peptide bonds, linking monomer units into a repeating structure. Unlike addition polymerization, this involves carbon-heteroatom bonds and produces polymers such as nylons and proteins. These polymers are vital due to their structural diversity and applicability in textiles and other materials.

Example:
Condensation polymerization, a process where monomers join to form a polymer with the loss of a small molecule, in this case, water.

The reaction involves two monomers:

Hexanedioic acid (a dicarboxylic acid)

Ethane diol (a diol or glycol)

During the reaction, the hydroxyl (OH) group from the acid and the hydrogen (H) from the alcohol group on the diol are eliminated to form a molecule of water (H2O). This creates an ester link between the two monomers. The process repeats, with ""n"" number of each monomer reacting to form a long polyester chain and 2n−1 molecules of water."
48,Ring-Opening Polymerization,Cyclic monomers open to form linear polymers,Cyclic monomer → Linear polymer,https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Polymer_Chemistry_(Schaller)/02%3A_Synthetic_Methods_in_Polymer_Chemistry/2.08%3A_Ring-Opening_Polymerization,"Ring-opening polymerization (ROP) is a method used to create polymers by opening cyclic esters (lactones) or amides (lactams) to form extended chain structures, primarily driven by the release of ring strain. An example is the polymerization of caprolactone to produce polycaprolactone. Unlike condensation polymerization, ROP monomers contain only one functional group, negating the need for complementary monomers. The reaction creates the same type of functional groups in both reactants and products, such as esters, leading to processes like ring-opening trans-esterification polymerization (ROTEP) with lactones. ROP generally begins with an initiator like an alkoxide anion, which adds to the monomer, promoting a chain reaction. Polymerization is quenched by converting the alkoxide to a less reactive alcohol. Caprolactone and similar esters can also undergo polymerization using anionic methods or Lewis acid catalysis.

Example:
The reaction is the polymerization of Tetrahydrofuran (THF). In the presence of an acid catalyst (H+) and water, the ring of the THF monomer opens to link with other THF molecules. This process, known as ring-opening polymerization, forms a long-chain polymer called Polytetramethylene ether glycol (PTMEG). The 'n' in the reaction formula indicates that a large number of THF molecules combine to form the polymer chain."
49,Free Radical Polymerization,Polymerization initiated by free radicals,Initiation → Propagation → Termination,https://chem.libretexts.org/Courses/Purdue/Purdue_Chem_26100%3A_Organic_Chemistry_I_(Wenthold)/Chapter_08%3A_Reactions_of_Alkenes/8.7.Polymerization/Free_Radical_Polymerization,"Free radical polymerization is a process primarily involving alkenes or functionally substituted alkenes used in addition reactions, facilitated by radical initiators like peroxides or azo compounds. The process involves converting a π-bond in monomers to a σ-bond in polymers, an exothermic reaction producing linear macromolecules. Four polymerization types are noted: radical, cationic, anionic, and coordination catalytic, varying by initiator and reactivity. Radical reactions are stabilized by inhibiting impurities, requiring pure monomers. Radical initiators, such as tert-butyl peroxide, benzoyl peroxide, and azobisisobutyronitrile, generate the free radicals essential for the reaction progression.

Example:
Free-Radical Polymerization of Ethene (Ethylene)
This reaction describes the three stages of free-radical polymerization, where an initiating radical (Z•) starts the process, leading to the formation of long polymer chains of polyethylene.

1. Chain Initiation
An initiator free radical (represented as Z•) attacks the double bond of an ethene (H2C=CH2) molecule. This breaks the π (pi) bond, and a new bond forms between Z and one carbon atom, leaving a radical on the other carbon atom of the former ethene molecule.

Reaction:Z•+H2C=CH2⟶Z−CH2−CH2•

2. Chain Propagation
The newly formed free radical (Z−CH2−CH2•) is highly reactive and attacks another ethene monomer. This process repeats, continuously adding ethene units to the growing polymer chain, with the radical always located at the end of the chain. This is where the polymer chain rapidly lengthens.

Reaction:Z−CH2−CH2•+H2C=CH2⟶Z−CH2−CH2−CH2−CH2•

This propagation step continues 'n' times, building the polymer chain:Z−(CH2−CH2​)n−CH2−CH2•

3. Chain Termination
The growth of the polymer chain stops when two free radicals combine. In the example shown, the growing polymer radical reacts with another initiator radical (Z•), forming a stable, non-radical polymer molecule. Other termination reactions can also occur, such as the combination of two growing polymer radicals.

Reaction:Z−(CH2−CH2)n−CH2−CH2•+Z•⟶Z−(CH2−CH2)n+1 − Z"
50,Ionic Polymerization,Polymerization using ionic initiators,Anionic or Cationic mechanism,https://en.wikipedia.org/wiki/Ionic_polymerization,"Ionic polymerization is a chain-growth polymerization where active centers are ions or ion pairs, serving as an alternative to radical polymerization. It involves anionic and cationic types, initiated by reactive compounds such as titanium or aluminum complexes for cationic, and group 1 metals like lithium for anionic. Stability is afforded by counterions opposite in charge to the active species. It requires specific monomers: those with electron-releasing groups for cationic and stable anions with electron-withdrawing groups for anionic.

Reaction rate is influenced by solvent polarity, monomer purity, and coordination with ion pairs. Solvents like pentane and chloroform can enhance or hinder the reaction. Coordination and solvation play crucial roles in fast polymerization, preventing common termination points and enhancing overall stability.


Example:

**Initiation**
The polymerization reaction for isobutylene starts with an initiator. In this case, a carbocation is formed from the reaction of boron trifluoride (BF3), a Lewis acid, with a trace amount of water (H2O). This creates an acidic species, which then protonates the isobutylene monomer, forming a tertiary carbocation (the first cationic species in the chain).

**Propagation**
The newly formed tertiary carbocation then acts as an electrophile and attacks the double bond of another isobutylene monomer. The pi electrons of the alkene attack the carbocation, forming a new carbon-carbon single bond and shifting the positive charge to the new terminal carbon atom. This process repeats, adding more monomer units to the growing polymer chain.

**Termination**
The polymer chain growth stops when the carbocation at the end of the chain is quenched. One possible termination pathway, as shown in the image, involves the loss of a proton (H+) from the carbocation to form a carbon-carbon double bond at the end of the chain. This results in the final polyisobutylene (butyl rubber) polymer chain. The repeating unit, enclosed in parentheses, is repeated 'n' times to form the final polymer chain."
51,Nuclear Fission,Heavy nucleus splits into lighter nuclei with energy release,Heavy nucleus → Lighter nuclei + neutrons + energy,https://en.wikipedia.org/wiki/Nuclear_fission,"Nuclear fission is a reaction in which an atomic nucleus splits into two or more smaller nuclei, releasing a significant amount of energy and gamma photons. Discovered by Otto Hahn and Fritz Strassmann, with theoretical insight from Lise Meitner and Otto Frisch, the process involves the fission of uranium-235 into lighter elements, emitting free neutrons and a large kinetic energy. This exothermic reaction enables a chain reaction due to the neutrons released. The process is a form of nuclear transmutation, producing different elements from the original. Nuclear fission, crucial for power generation, also has applications in nuclear weapons. 

In an example reaction, a neutron is absorbed by uranium-235, creating uranium-236, which splits into isotopes such as krypton-92 and barium-141, along with releasing free neutrons and gamma rays, facilitated by kinetic energy from thermal moderation."
52,Nuclear Fusion,Light nuclei combine to form heavier nucleus,Light nuclei → Heavy nucleus + energy,https://en.wikipedia.org/wiki/Nuclear_fusion,"Nuclear fusion involves the merging of light nuclei, releasing energy due to the interplay between the attractive nuclear force and the repulsive Coulomb force. Smaller nuclei, like hydrogen, fuse when high temperatures overcome repulsion, leading to energy release as seen in stars. For instance, fusion of deuterium and tritium yields helium-4, a neutron, and 17.59 MeV of kinetic energy, with mass loss explained by \(E = \Delta mc^2\). This exothermic process powers the sun, fusing 620 million metric tons of hydrogen into helium per second, driving nucleosynthesis of elements lighter than cobalt.

Example:
In nuclear fusion, two light atomic nuclei—Deuterium (an isotope of hydrogen with one proton and one neutron) and Tritium (an isotope of hydrogen with one proton and two neutrons)—are fused together under extreme heat and pressure. This process combines the protons and neutrons of the two nuclei to form a new, heavier nucleus.

The resulting products are a Helium nucleus (containing two protons and two neutrons) and a free neutron. A significant amount of energy is also released during this reaction, as a small fraction of the mass is converted into energy according to Einstein's famous equation, E=mc²."
53,Nuclear Decay,Spontaneous breakdown of unstable nuclei,Unstable nucleus → Stable nucleus + radiation,https://brilliant.org/wiki/nuclear-decay/,"**Nuclear Decay Summary**

The image explains two types of nuclear decay: alpha decay and beta decay.

1. **Alpha Decay**: This process involves the emission of a helium-4 nucleus, known as an alpha particle. The parent nucleus loses two protons and two neutrons. As shown in the example, Radium-226 (²²⁶₈₈Ra) decays into Radon-222 (²²²₈₆Rn) and emits an alpha particle (⁴₂He). Alpha decay typically occurs in nuclei with an atomic mass of 200 or greater.

2. **Beta Decay**: This type occurs in neutron-rich nuclei. A neutron is transformed into a proton, and a high-energy electron, called a beta particle, is emitted. The example provided depicts Iodine-131 (¹³¹₅₃I) decaying into Xenon-131 (¹³¹₅₄Xe) along with the emission of a beta particle (⁰₋₁β). The beta particle has high energy and can penetrate skin, potentially causing damage."
54,Nuclear Transmutation,Artificial transformation of one element to another,Target + Projectile → Product + Ejectile,https://en.wikipedia.org/wiki/Nuclear_transmutation,"Nuclear transmutation is the conversion of one chemical element or isotope into another, achieved by altering the number of protons or neutrons in an atom's nucleus. This process can occur via nuclear reactions or radioactive decay. Historically, stellar nucleosynthesis has created most heavy elements in the universe, such as helium, oxygen, and carbon, through fusion reactions in stars. For elements heavier than iron, such as gold and lead, transmutations occur naturally in supernovae, as heavier elements require endothermic reactions for production.

Example:

transmutation of nitrogen into oxygen.

The process begins with a nitrogen-14 nucleus (N14) being struck by an alpha particle, which is a helium-4 nucleus (He4). The nitrogen-14 nucleus absorbs the alpha particle, forming a new, unstable compound nucleus. This unstable nucleus immediately decays, ejecting a proton (H1) and transforming into a new, stable element: oxygen-17 (O17). This was the first artificially induced nuclear reaction, carried out by Ernest Rutherford in 1919.

The reaction can be summarized in a nuclear equation:
N14 + He4 → O17 +H1"
55,Scattering Reaction,Collision between particles resulting in direction change,Elastic or Inelastic scattering,https://mdcollege.in/wp-content/uploads/2023/02/FYBSc.P2_U2_Nuclear-reactions-.pdf,"**Scattering Reaction Summary**

Scattering reactions involve interactions where incident particles (projectiles) collide with target nuclei, resulting in elastic or inelastic scattering.

**Elastic Scattering:**
1. The projectile particle hits the target nucleus, changing direction due to interaction, while the target nucleus remains in its ground state.
2. Kinetic energies of both the target (parent) and projectile particles are conserved, ensuring no energy loss. A common example is Rutherford's gold-alpha scattering.

**Inelastic Scattering:**
- Upon collision, the projectile causes the target nucleus to lose energy and become excited, leading to energy and momentum loss of the projectile.
- Example reaction: \( \prescript{1}{}{H} + \prescript{7}{}{Li} \rightarrow (\prescript{7}{}{Li})^* + \prescript{1}{}{H}\) where (*) signifies an excited nucleus.

Scattering reactions are critical for studying nuclear interactions and structure."
56,Spallation Reaction,High-energy particle breaks nucleus into fragments,Nucleus + High-energy particle → Fragments,https://en.wikipedia.org/wiki/Spallation,"Spallation is a process where fragments of material (spall) are ejected from a body due to impact or stress. In various contexts such as impact mechanics, planetary physics, mining, geology, anthropology, and nuclear physics, spallation describes different phenomena, including meteor impacts, breaking rocks, and creating arrowheads. In nuclear physics, it's the process where a nucleus emits nucleons after a high-energy particle impact, reducing atomic weight.

In solid mechanics, spallation occurs when tensile stress waves propagate through material, often due to cavitation. This can happen in flat plate impact tests, where fragments are formed by stress waves exceeding the material's tensile strength. In laser spallation, a pulsed laser, like Nd:YAG, creates a compressive stress wave in the substrate, leading to ultra-thin film peeling. This method helps in studying adhesion and involves wave propagation principles.

Spallation, high-energy nuclear reaction in which a target nucleus struck by an incident (bombarding) particle of energy greater than about 50 million electron volts (MeV) ejects numerous lighter particles and becomes a product nucleus correspondingly lighter than the original nucleus. The light ejected particles may be neutrons, protons, or various composite particles equivalent to nuclei of hydrogen, helium, or lithium isotopes. The product nucleus is occasionally much lighter than the target nucleus; chlorine-38, for example, has been produced along with an assortment of neutrons, protons, and alpha particles (helium nuclei) by bombarding copper-63 with protons accelerated to 70 MeV."
57,Crystallization,Formation of ordered crystalline structures from solution,Dissolved → Crystalline solid,https://en.wikipedia.org/wiki/Crystallization,"Crystallization is a process that forms solids with highly organized atoms or molecules, known as crystals. Unlike amorphous solids, crystals possess regular organization and can be formed through methods like precipitation from a solution, freezing of a liquid, or gas deposition. The process depends on factors such as temperature, air pressure, cooling rate, or solute concentration. It occurs in two key steps: nucleation, where a crystalline phase appears in a supercooled or supersaturated solution, and crystal growth, where particle size increases to form the crystal state. This technique is crucial for chemical solid–liquid separation, transferring solute from liquid to solid crystalline phase, and is relevant in chemical engineering, employing equipment like crystallizers. Crystallization is closely related to precipitation, differing by producing a structured crystal rather than an amorphous solid."
58,Recrystallization,Purification by dissolving and re-forming crystals,Impure solid → Pure crystals,https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Supplemental_Modules_(Physical_and_Theoretical_Chemistry)/Physical_Properties_of_Matter/Solutions_and_Mixtures/Case_Studies/RECRYSTALLIZATION,"**Recrystallization Summary**

Recrystallization, or fractional crystallization, is a method for purifying an impure compound in a solvent, relying on the principle that solubility generally increases with temperature. The process begins by dissolving the impure compound in boiling solvent and cooling to promote crystallization of the pure substance, leaving impurities in solution. The slower the cooling, the larger the crystals formed, which are then isolated via filtration.

**Key Points:**

- **Best Conditions:** Works best when impurity quantities are small and solubility varies significantly with temperature.
- **Disadvantages:** Time-consuming and requires identification of a suitable solvent.
- **Procedure Overview:**
  1. **Dissolve**: Heat solvent to dissolve impure compound.
  2. **Cool**: Slow cooling in ice bath promotes pure crystal formation.
  3. **Isolate Crystals**: Use vacuum filtration to separate pure crystals.
  4. **Dry Crystals**: Dry in an aspirator and then in a glass dish.
  
This method, despite its slow nature, effectively yields a pure product sample when properly executed."
